src,dst,resource,value,weight
AUS,CHN,Pearls and gemstones,18849.161031,445.2536
AUS,CXR,Agricultural products,759.338,272.045
AUS,CXR,Fertilizers,NA,NA
AUS,CXR,Forestry products,107.341,45.19
AUS,CXR,Fossil fuels,7121.674,16705.094
AUS,CXR,Metals and minerals,57.155,28.58
AUS,CCK,Agricultural products,55.078,29.09
AUS,CCK,Forestry products,71.916,45.09
AUS,CCK,Fossil fuels,127.456,122.336
AUS,CCK,Metals and minerals,57.316,212.458
AUS,COL,Agricultural products,635.73108152,171.77602415
AUS,COL,Forestry products,89.098,53.985
AUS,COL,Fossil fuels,816.265,249.682
AUS,COL,Metals and minerals,16051.61013,10042.4364
AUS,COG,Agricultural products,19.996,24.15
AUS,COD,Agricultural products,157.532,223.884
AUS,COD,Fossil fuels,0.382,0.012
AUS,COK,Agricultural products,421.876,235.314
AUS,COK,Forestry products,67.136,11.7
AUS,COK,Metals and minerals,4.349,0.11
AUS,COK,Pearls and gemstones,NA,NA
AUS,CRI,Agricultural products,473.7882986,27.39324919
AUS,CRI,Fertilizers,249.933,65.437
AUS,CRI,Forestry products,1.289,1.834
AUS,CRI,Fossil fuels,7.404,0.318
AUS,CRI,Metals and minerals,3036.38304,2195.602567
AUS,CRI,Pearls and gemstones,13.934,0.086
AUS,HRV,Agricultural products,746.279,177.783
AUS,HRV,Fossil fuels,8832.923,104311.832
AUS,HRV,Metals and minerals,43.669,26.96
AUS,CYP,Agricultural products,905.7990233,97.06671413
AUS,CYP,Forestry products,17.396,19.763
AUS,CYP,Fossil fuels,189.383,250.989
AUS,CYP,Metals and minerals,484.2324252,645.302653
AUS,CYP,Pearls and gemstones,0.1,0.001
AUS,CZE,Agricultural products,93750.5029,15446.8597
AUS,CZE,Fertilizers,0.014,0.002
AUS,CZE,Forestry products,14.965,16.612
AUS,CZE,Fossil fuels,82.055,92.93
AUS,CZE,Metals and minerals,1987.36591738,3856.46450495
AUS,CZE,Pearls and gemstones,6.956,0.607
AUS,BEN,Agricultural products,226.806,427.204
AUS,DNK,Agricultural products,19136.75297893,2288.89289097
AUS,DNK,Forestry products,8571.961,52250.485
AUS,DNK,Fossil fuels,4133.775,5509.776
AUS,DNK,Metals and minerals,16.402,5.578
AUS,DNK,Pearls and gemstones,1199.619,0.1
AUS,DMA,Agricultural products,138.496,27.616
AUS,DOM,Agricultural products,2726.18451994,555.89840578
AUS,DOM,Fossil fuels,2.929,2.03
AUS,DOM,Metals and minerals,651.922706,758.975444
AUS,DOM,Pearls and gemstones,NA,NA
AUS,ECU,Agricultural products,889.87492867,1520.64214031
AUS,ECU,Fertilizers,180.125106,20.1309005
AUS,ECU,Fossil fuels,44.189,6.366
AUS,ECU,Metals and minerals,7829.83197176,4098.24370236
AUS,SLV,Agricultural products,5289.2010096,2316.69744628
AUS,SLV,Forestry products,53.255,120.277
AUS,SLV,Metals and minerals,10343.67694,9407.35728
AUS,GNQ,Agricultural products,32.019,53
AUS,ETH,Agricultural products,1039.2749322,2023.36518764
AUS,ETH,Fertilizers,365.377,279
AUS,ETH,Forestry products,2391.956,2818.01
AUS,ETH,Fossil fuels,NA,NA
AUS,ETH,Metals and minerals,2258.102891,668.63460416
AUS,ERI,Metals and minerals,34.665,0.26
AUS,EST,Agricultural products,998.497,79.416
AUS,EST,Metals and minerals,40.792,156.022
AUS,EST,Pearls and gemstones,NA,NA
AUS,FLK,Agricultural products,NA,NA
AUS,FLK,Fossil fuels,0.023,0.001
AUS,FJI,Agricultural products,84279.16860416,211082.08861058
AUS,FJI,Fertilizers,770.20548724,606.46644029
AUS,FJI,Forestry products,970.13148289,1098.26478795
AUS,FJI,Fossil fuels,12847.76433485,28125.69033675
AUS,FJI,Metals and minerals,6791.51513934,5464.97478534
AUS,FJI,Pearls and gemstones,13.132,NA
AUS,FIN,Agricultural products,4410.24363325,399.88665241
AUS,FIN,Fertilizers,1.531,0.029
AUS,FIN,Forestry products,4.499,0.092
AUS,FIN,Fossil fuels,12705.399758,94973.4694666
AUS,FIN,Metals and minerals,39047.7082843,8930.1729456
AUS,FIN,Pearls and gemstones,2.462,0.006
AUS,FRA,Agricultural products,149131.8333589,214902.15536267
AUS,FRA,Fertilizers,29.654,106.378
AUS,FRA,Forestry products,805.15926951,511.9334668
AUS,FRA,Fossil fuels,490612.2768147,4697878.61887394
AUS,FRA,Metals and minerals,31032.71473216,26647.99307173
AUS,FRA,Pearls and gemstones,36918.158967,2.05397182
AUS,PYF,Agricultural products,6763.343,4438.999
AUS,PYF,Fertilizers,62.808,79.55
AUS,PYF,Fossil fuels,1764.086,4039.475
AUS,PYF,Metals and minerals,530.577,710.538
AUS,PYF,Pearls and gemstones,NA,NA
AUS,DJI,Fertilizers,384.625,372
AUS,GAB,Agricultural products,954.956,1478.602
AUS,GAB,Metals and minerals,28.713,63.265
AUS,GEO,Agricultural products,631.6952562,114.7391928
AUS,GEO,Metals and minerals,483.187,277.997
AUS,GMB,Agricultural products,1.275,0.94
AUS,GMB,Metals and minerals,0.081,0.07
AUS,PSE,Agricultural products,4785.027,1748.866
AUS,PSE,Metals and minerals,76.851,61.717
AUS,DEU,Agricultural products,432993.32528163,773628.22878964
AUS,DEU,Fertilizers,1.511,0.472
AUS,DEU,Forestry products,229.9930436,64.16537839
AUS,DEU,Fossil fuels,262911.1847159,2781847.3572885
AUS,DEU,Metals and minerals,454728.60438307,329186.53586468
AUS,DEU,Pearls and gemstones,2627.179785,4.68416274
AUS,GHA,Agricultural products,5264.8028716,5405.8790569
AUS,GHA,Fertilizers,0.048,0.019
AUS,GHA,Forestry products,0.662,1.849
AUS,GHA,Fossil fuels,2748.3937817,10147.51742393
AUS,GHA,Metals and minerals,709.84346735,43.67428554
AUS,KIR,Agricultural products,9947.47329158,11118.24913547
AUS,KIR,Fertilizers,0.232,0.012
AUS,KIR,Forestry products,4.769,4.197
AUS,KIR,Fossil fuels,163.722514,67.8304483
AUS,KIR,Metals and minerals,54.12591353,77.2881021
AUS,GRC,Agricultural products,2913.6723943,773.26675361
AUS,GRC,Fertilizers,214.77099292,92.13505107
AUS,GRC,Forestry products,0.08,0.004
AUS,GRC,Fossil fuels,208.0970124,408.734304
AUS,GRC,Metals and minerals,389.898597,447.6919571
AUS,GRL,Agricultural products,262.879,12.042
AUS,GUM,Agricultural products,1661.445,1322.62
AUS,GUM,Metals and minerals,9.282,3.85
AUS,GTM,Agricultural products,2140.542287,601.17485332
AUS,GTM,Forestry products,0.008,0.001
AUS,GTM,Metals and minerals,356.467,72.766
AUS,GIN,Agricultural products,56.274,106.2
AUS,GIN,Metals and minerals,40.539,9.058
AUS,GUY,Agricultural products,181.0942945,60.895974
AUS,GUY,Fossil fuels,NA,NA
AUS,GUY,Metals and minerals,521.4765022,451.5714996
AUS,HTI,Agricultural products,1230.117,1032.8
AUS,HND,Agricultural products,67.369,5.718
AUS,HND,Metals and minerals,545.89397707,422.24012896
AUS,HKG,Agricultural products,804343.40149447,216916.51660227
AUS,HKG,Fertilizers,95.9954336,156.64947403
AUS,HKG,Forestry products,3131.8543329,23537.24724409
AUS,HKG,Fossil fuels,46899.309,350601.8842
AUS,HKG,Metals and minerals,4659599.7769142,374250.11012291
AUS,HKG,Pearls and gemstones,124611.699356,0.90794971
AUS,HUN,Agricultural products,65.80571828,27.68704377
AUS,HUN,Forestry products,13.166,2.233
AUS,HUN,Fossil fuels,6324.955,56525.17
AUS,HUN,Metals and minerals,21.7376872,27.03
AUS,ISL,Agricultural products,249.49647392,45.28098618
AUS,ISL,Fossil fuels,10.355,0.451
AUS,ISL,Metals and minerals,304.128,546.895
AUS,IDN,Agricultural products,2574161.71267662,5030106.33089535
AUS,IDN,Fertilizers,38779.5382424,297563.4675089
AUS,IDN,Forestry products,47272.5568997,276197.220185
AUS,IDN,Fossil fuels,808760.21303643,4206882.8059961405
AUS,IDN,Metals and minerals,570593.07452082,5378062.60918469
AUS,IDN,Pearls and gemstones,313.11234436,0.467902
AUS,IRN,Agricultural products,30696.464,74552.855
AUS,IRN,Fertilizers,357.452,125.368
AUS,IRN,Fossil fuels,10475.08,94482
AUS,IRN,Metals and minerals,0.486,0.035
AUS,IRQ,Agricultural products,18300.468,54508.592
AUS,IRQ,Metals and minerals,336.164,280.66
AUS,IRL,Agricultural products,6766.50668279,2680.8357196
AUS,IRL,Fertilizers,126.69255,55.4812124
AUS,IRL,Forestry products,0.065,0.093
AUS,IRL,Fossil fuels,28.7322019,2.0921507
AUS,IRL,Metals and minerals,509.52,820.667
AUS,IRL,Pearls and gemstones,77.548,0.005
AUS,ISR,Agricultural products,120176.3818715,61770.57711836
AUS,ISR,Fertilizers,30.098,18.434
AUS,ISR,Forestry products,163.457879,226.408277
AUS,ISR,Fossil fuels,1.316,0.275
AUS,ISR,Metals and minerals,3071.6082939,1594.79701229
AUS,ISR,Pearls and gemstones,12132.6795,0.043
AUS,ITA,Agricultural products,292784.39715897,175887.55821798
AUS,ITA,Fertilizers,264.017802,167.5340348
AUS,ITA,Forestry products,98.74320731,58.94
AUS,ITA,Fossil fuels,93130.6337134,884181.1212636
AUS,ITA,Metals and minerals,55044.411045,83691.29728827
AUS,ITA,Pearls and gemstones,1080.941965,0.09964061
AUS,CIV,Agricultural products,1178.035,1550.45
AUS,CIV,Fossil fuels,5.141,1.702
AUS,CIV,Metals and minerals,11.625,0.627
AUS,JAM,Agricultural products,10308.5851844,3392.31153091
AUS,JAM,Fossil fuels,0.005,0.002
AUS,JAM,Metals and minerals,407.954,449.813
AUS,JPN,Agricultural products,3404584.58547457,3542657.04934222
AUS,JPN,Fertilizers,1684.7177318,501.818731
AUS,JPN,Forestry products,366943.936783,2862907.1385768
AUS,JPN,Fossil fuels,18322684.77255,146618207.6713
AUS,JPN,Metals and minerals,6221337.37595913,81080455.3141618
AUS,JPN,Pearls and gemstones,138829.031728,9.50938211
AUS,KAZ,Agricultural products,2233.6211274,1027.65342688
AUS,KAZ,Fertilizers,NA,NA
AUS,KAZ,Fossil fuels,79.339,8.466
AUS,KAZ,Metals and minerals,1054.855,1202.203
AUS,JOR,Agricultural products,123649.35384822,56457.70281007
AUS,JOR,Fertilizers,54.193,21.268
AUS,JOR,Fossil fuels,16030.465,61919.258
AUS,JOR,Metals and minerals,130.7016791,112.1290925
AUS,JOR,Pearls and gemstones,59.531,0.001
AUS,KEN,Agricultural products,748.374,239.972
AUS,KEN,Fertilizers,154.879,65.372
AUS,KEN,Fossil fuels,5.378,0.313
AUS,KEN,Metals and minerals,3364.867,1782.339
AUS,KOR,Agricultural products,2509555.7167351,3770989.06796347
AUS,KOR,Fertilizers,491.688314,334.3137666
AUS,KOR,Forestry products,28177.54123179,166428.94893158
AUS,KOR,Fossil fuels,6215213.36313,57535687.4608
AUS,KOR,Metals and minerals,5380860.03674887,57499829.3205042
AUS,KOR,Pearls and gemstones,490.741,0.029
AUS,KWT,Agricultural products,319687.99121984,800208.42166763
AUS,KWT,Fertilizers,3.713,0.069
AUS,KWT,Forestry products,1136.729338,1315.466404
AUS,KWT,Fossil fuels,71.17,2.932
AUS,KWT,Metals and minerals,33836.2522373,115416.8314729
AUS,KGZ,Agricultural products,36.042,1.009
AUS,KGZ,Metals and minerals,11.34,0.281
AUS,LAO,Agricultural products,144.925,16.606
AUS,LAO,Fertilizers,0.431,0.047
AUS,LAO,Fossil fuels,NA,NA
AUS,LAO,Metals and minerals,87.811,52.648
AUS,LBN,Agricultural products,26241.442889,12183.22399866
AUS,LBN,Forestry products,235.7,263.9
AUS,LBN,Metals and minerals,16.5887257,43.7768887
AUS,LBN,Pearls and gemstones,64.16190752,0.004
AUS,LVA,Agricultural products,1.382,0.079
AUS,LVA,Forestry products,3.632,1.011
AUS,LVA,Metals and minerals,105.046,10.498
AUS,LBR,Agricultural products,157.077,345.644
AUS,LBR,Metals and minerals,4.48,0.098
AUS,LBY,Agricultural products,186.492,79.001
AUS,LTU,Agricultural products,801.670667,79.4247735
AUS,LTU,Metals and minerals,0.173,0.004
AUS,LUX,Agricultural products,6137.81534,348.589851
AUS,LUX,Metals and minerals,1683.488,1260.446
AUS,MAC,Agricultural products,19264.8783917,3180.19553979
AUS,MAC,Fertilizers,0.608,0.06
AUS,MAC,Metals and minerals,295.985,500.081
AUS,MDG,Agricultural products,996.836528,1078.06556
AUS,MDG,Metals and minerals,22.734,9.807
AUS,MDG,Pearls and gemstones,2.273,3.464
AUS,MWI,Agricultural products,13593.89,56e3
AUS,MYS,Agricultural products,832654.79420963,1424505.68692258
AUS,MYS,Fertilizers,15752.84984455,112188.56383202
AUS,MYS,Forestry products,45011.4877182,64603.19145
AUS,MYS,Fossil fuels,1133507.7685381,12713246.8198771
AUS,MYS,Metals and minerals,1398185.67675475,892270.069727429
AUS,MYS,Pearls and gemstones,93.14335931,0.02686096
AUS,MDV,Agricultural products,16617.46028799,4703.35069016
AUS,MDV,Fertilizers,36.249,24.256
AUS,MDV,Forestry products,15.134,38.901
AUS,MDV,Fossil fuels,29.8743118,35.5731965
AUS,MDV,Metals and minerals,55.7721457,39.6831782
AUS,MDV,Pearls and gemstones,0.141,0.001
AUS,MLI,Agricultural products,160.113,351.913
AUS,MLI,Fossil fuels,19.807,3.376
AUS,MLI,Metals and minerals,170.7055218,27.9781929
AUS,MLT,Agricultural products,942.51769162,170.55648459
AUS,MLT,Fertilizers,0.145,0.013
AUS,MLT,Forestry products,1.492,0.34
AUS,MLT,Fossil fuels,11.71,14.08
AUS,MLT,Metals and minerals,125.419,27.571
AUS,MLT,Pearls and gemstones,0.627,0.001
AUS,MRT,Agricultural products,23.559,1.098
AUS,MRT,Fossil fuels,0.053,0.042
AUS,MRT,Metals and minerals,18.98533127,13.7700125
AUS,MUS,Agricultural products,64369.87316568,56052.59651395
AUS,MUS,Fertilizers,76.4488648,44.3331217
AUS,MUS,Forestry products,22.753,16.138
AUS,MUS,Fossil fuels,700.566,1679.236
AUS,MUS,Metals and minerals,1727.429863,1877.646112
AUS,MUS,Pearls and gemstones,6.628,0.001
AUS,MEX,Agricultural products,47299.41094714,12830.55015503
AUS,MEX,Fertilizers,6115.5354,17606.564818
AUS,MEX,Forestry products,85.454,182.35
AUS,MEX,Fossil fuels,228176.501,3240508.011
AUS,MEX,Metals and minerals,60024.770946,185368.908922
AUS,MEX,Pearls and gemstones,22.156,0.009
AUS,MNG,Agricultural products,667.2816142,328.29135621
AUS,MNG,Forestry products,26.494,19.2
AUS,MNG,Fossil fuels,14.531,2.213
AUS,MNG,Metals and minerals,57.5610468,62.278402
AUS,MNG,Pearls and gemstones,33.824,0.005
AUS,MDA,Agricultural products,87.839,1.658
AUS,MDA,Fossil fuels,NA,NA
AUS,MDA,Metals and minerals,0.029,0.033
AUS,MNE,Agricultural products,110.342,10.669
AUS,MNE,Metals and minerals,2.403,0.585
AUS,MAR,Agricultural products,17244.27503307,5311.12222889
AUS,MAR,Fertilizers,94.808,29.195
AUS,MAR,Fossil fuels,39.952,4.4
AUS,MAR,Metals and minerals,597.223911,572.929352
AUS,MOZ,Agricultural products,8822.56,37050.122
AUS,MOZ,Fertilizers,210.247,186.3
AUS,MOZ,Fossil fuels,4597.524,12594.893
AUS,MOZ,Metals and minerals,1.737,0.076
AUS,OMN,Agricultural products,71987.84790165,173827.98765026
AUS,OMN,Fertilizers,0.06,0.124
AUS,OMN,Forestry products,7.172,0.18
AUS,OMN,Fossil fuels,967.582673,1535.603
AUS,OMN,Metals and minerals,18901.69118726,12729.18579315
AUS,NAM,Agricultural products,91.8789863,40.143
AUS,NAM,Fertilizers,0.649,0.026
AUS,NAM,Forestry products,111.893,6.706
AUS,NAM,Metals and minerals,27.424,30.268
AUS,NAM,Pearls and gemstones,0.242,0.001
AUS,NRU,Agricultural products,6952.241,4176.335
AUS,NRU,Fertilizers,7.401,18
AUS,NRU,Forestry products,360.007,232.629
AUS,NRU,Fossil fuels,496.192,223.21
AUS,NRU,Metals and minerals,314.761,647.301
AUS,NPL,Agricultural products,29751.588,60348.831
AUS,NPL,Forestry products,81.403,27
AUS,NPL,Fossil fuels,160.006,405.84
AUS,NPL,Metals and minerals,239.648,84.33
AUS,NLD,Agricultural products,205314.44371173,232126.42433716
AUS,NLD,Fertilizers,290.9218719,199.97989297
AUS,NLD,Forestry products,1054.2488773,733.1273887
AUS,NLD,Fossil fuels,557958.0334899,5599559.680124
AUS,NLD,Metals and minerals,68481.55880581,113671.48049816
AUS,NLD,Pearls and gemstones,16.235,0.034
AUS,NCL,Agricultural products,20056.986,33189.566
AUS,NCL,Fertilizers,269.665,399.52
AUS,NCL,Forestry products,297.331,348.078
AUS,NCL,Fossil fuels,87355.994,1087517.873
AUS,NCL,Metals and minerals,1703.575,889.561
AUS,NCL,Pearls and gemstones,327.583,0.011
AUS,VUT,Agricultural products,6564.47,5772.174
AUS,VUT,Fertilizers,4.088,2.334
AUS,VUT,Forestry products,539.763,322.636
AUS,VUT,Fossil fuels,3508.342,6857
AUS,VUT,Metals and minerals,516.217,323.475
AUS,NZL,Agricultural products,443962.36742219,686260.04694648
AUS,NZL,Fertilizers,8939.03220555,16896.45897456
AUS,NZL,Forestry products,12903.96474057,12000.25862835
AUS,NZL,Fossil fuels,181711.58067463,463794.78461718
AUS,NZL,Metals and minerals,195004.59735448,597968.71404281
AUS,NZL,Pearls and gemstones,15858.5034233,1.41118784
AUS,NIC,Fertilizers,394.712,5.795
AUS,NER,Agricultural products,753.953,1726.736
AUS,NGA,Agricultural products,214663.7917702,789885.7251934
AUS,NGA,Metals and minerals,156.598,41.891
AUS,NFK,Agricultural products,343.248,162.975
AUS,NFK,Forestry products,44.405,46.17
AUS,NFK,Fossil fuels,10.448,2.215
AUS,NFK,Metals and minerals,25.332,12.853
AUS,NOR,Agricultural products,4190.98625169,1204.3122188
AUS,NOR,Forestry products,101.707405,85.9947759
AUS,NOR,Fossil fuels,214.575,13.399
AUS,NOR,Metals and minerals,9508.045,5537.129
AUS,NOR,Pearls and gemstones,1.391,0.002
AUS,MNP,Agricultural products,352.07,453.307
AUS,MNP,Metals and minerals,1.808,3.375
AUS,FSM,Agricultural products,558.701,872.608
AUS,FSM,Fossil fuels,17.643,14.2
AUS,MHL,Agricultural products,283.811,469.011
AUS,MHL,Fossil fuels,26.473,19.782
AUS,PLW,Agricultural products,349.6945888,294.28243902
AUS,PLW,Forestry products,0.01,0.005
AUS,PLW,Metals and minerals,0.115,0.28
AUS,PAK,Agricultural products,210398.20076814,259411.92963963
AUS,PAK,Fertilizers,131485.07900382,362989.6985712
AUS,PAK,Forestry products,567.884004,2872.18166
AUS,PAK,Fossil fuels,134.708485,156.057599
AUS,PAK,Metals and minerals,67644.1353227,192635.959081
AUS,PAN,Agricultural products,12.103,0.337
AUS,PAN,Metals and minerals,9.533,2.262
AUS,PNG,Agricultural products,192941.741,318567.671
AUS,PNG,Fertilizers,9604.419,16426.981
AUS,PNG,Forestry products,555.887,242.756
AUS,PNG,Fossil fuels,128826.133,312122.183
AUS,PNG,Metals and minerals,16753.032,16177.308
AUS,PNG,Pearls and gemstones,NA,NA
AUS,PRY,Agricultural products,203.711729,9.66383772
AUS,PRY,Metals and minerals,1199.27,1753.295
AUS,PER,Agricultural products,3023.5544741,774.09655431
AUS,PER,Fertilizers,8.308,4.432
AUS,PER,Forestry products,11.01,7.989
AUS,PER,Fossil fuels,NA,NA
AUS,PER,Metals and minerals,4750.1971235,3378.05639657
AUS,PER,Pearls and gemstones,35.555,0.036
AUS,PHL,Agricultural products,468661.96719425,1146895.0932646
AUS,PHL,Fertilizers,768.446085,421.491589
AUS,PHL,Forestry products,1710.0382743,6543.22818257
AUS,PHL,Fossil fuels,201505.623494,2826743.0804857
AUS,PHL,Metals and minerals,365471.72830485,758688.54552401
AUS,PHL,Pearls and gemstones,2.40800594,0.64039392
AUS,PCN,Agricultural products,15.557,19.5
AUS,POL,Agricultural products,8588.55532625,1494.65578089
AUS,POL,Fertilizers,214.517,525.15
AUS,POL,Forestry products,38.039,35.67
AUS,POL,Fossil fuels,179377.03,1561074.334
AUS,POL,Metals and minerals,65412.7786796,74049.30995449
AUS,POL,Pearls and gemstones,0.672,0.012
AUS,PRT,Agricultural products,3095.0179473,1098.46927309
AUS,PRT,Forestry products,25.377,29.154
AUS,PRT,Metals and minerals,77.44,216.096
AUS,PRT,Pearls and gemstones,0.298,0.001
AUS,GNB,Metals and minerals,196.853,183.984
AUS,TLS,Agricultural products,1082.283,784.564
AUS,TLS,Fertilizers,0.286,0.03
AUS,TLS,Forestry products,21.199,108.21
AUS,TLS,Fossil fuels,739.523,1389.186
AUS,TLS,Metals and minerals,316.364,154.653
AUS,QAT,Agricultural products,227039.25822825,144438.8226577
AUS,QAT,Fertilizers,206.663,100.349
AUS,QAT,Forestry products,790.26048252,1706.82187384
AUS,QAT,Fossil fuels,235.564,166.277
AUS,QAT,Metals and minerals,8176.91451091,7353.68857055
AUS,QAT,Pearls and gemstones,530.316,0.003
AUS,ROU,Agricultural products,630.8234551,242.99903138
AUS,ROU,Forestry products,21.637051,26.14
AUS,ROU,Fossil fuels,5265.404,60703
AUS,ROU,Metals and minerals,998.957376,443.098558
AUS,RUS,Agricultural products,69373.07023706,82180.42175329
AUS,RUS,Fertilizers,22.656,10.9
AUS,RUS,Forestry products,3.021,5.572
AUS,RUS,Fossil fuels,11.742366,3.14302849
AUS,RUS,Metals and minerals,2774.45989,5746.970573
AUS,RUS,Pearls and gemstones,NA,NA
AUS,RWA,Agricultural products,1539.982,932.443
AUS,RWA,Metals and minerals,51.572,63.432
AUS,KNA,Agricultural products,376.16,101.16
AUS,LCA,Agricultural products,407.46731032,93.5271771
AUS,LCA,Fertilizers,5.48,0.134
AUS,LCA,Metals and minerals,507.489,542.886
AUS,VCT,Metals and minerals,100.338,125.603
AUS,SAU,Agricultural products,333442.6275038,418811.7865644
AUS,SAU,Fertilizers,338.206782,195.2095321
AUS,SAU,Forestry products,3826.555465,14792.74049
AUS,SAU,Fossil fuels,202.2954426,269.82760491
AUS,SAU,Metals and minerals,102789.2022945,226567.087813
AUS,SEN,Agricultural products,665.8870749,225.3099412
AUS,SEN,Forestry products,23.023,25
AUS,SEN,Fossil fuels,NA,NA
AUS,SEN,Metals and minerals,343.5480079,247.5056506
AUS,SRB,Agricultural products,1180.46,141.343
AUS,SRB,Fossil fuels,0.07,0.06
AUS,SRB,Metals and minerals,266.318,222.036
AUS,SYC,Agricultural products,2982.6133867,674.73484656
AUS,SYC,Fertilizers,0.016,0.002
AUS,SYC,Forestry products,29.921,22.72
AUS,SYC,Fossil fuels,2.896,0.168
AUS,SYC,Metals and minerals,9.32203639,2.85392649
AUS,SYC,Pearls and gemstones,7.564,0.001
AUS,SLE,Agricultural products,87.603,146.523
AUS,SLE,Forestry products,10.786,51.342
AUS,SLE,Metals and minerals,187.741,13.528
AUS,IND,Agricultural products,1454785.03596059,1854880.83398055
AUS,IND,Fertilizers,18814.63451716,55146.80579688
AUS,IND,Forestry products,18917.5597985,134505.31078675
AUS,IND,Fossil fuels,6188314.04941045,57241298.7023667
AUS,IND,Metals and minerals,1275560.84576062,1121323.52679004
AUS,IND,Pearls and gemstones,65688.988481,10.32584437
AUS,SGP,Agricultural products,786596.706914121,766511.4544024
AUS,SGP,Fertilizers,316.86627421,96.598919
AUS,SGP,Forestry products,1501.14167389,4552.99100816
AUS,SGP,Fossil fuels,1258574.4866809,3663747.4751002
AUS,SGP,Metals and minerals,367303.24182843,637500.87127173
AUS,SGP,Pearls and gemstones,41211.22,0.146
AUS,SVK,Agricultural products,19697.3496,962.641416
AUS,SVK,Fertilizers,32.258,62.18
AUS,SVK,Forestry products,0.531,0.653
AUS,SVK,Fossil fuels,7978.133,69541.325
AUS,SVK,Metals and minerals,204.121,397.064
AUS,SVK,Pearls and gemstones,0.449,0.001
AUS,VNM,Agricultural products,1519767.455,2007953.174
AUS,VNM,Fertilizers,19189.494,52960.773
AUS,VNM,Forestry products,6043.675,25069.524
AUS,VNM,Fossil fuels,294534.864,3997644.34
AUS,VNM,Metals and minerals,566649.577,1327025.305
AUS,VNM,Pearls and gemstones,122.791,0.008
AUS,SVN,Agricultural products,1255.67,437.208
AUS,SVN,Fossil fuels,32543.864,362917
AUS,SVN,Metals and minerals,27.985,0.519
AUS,ZAF,Agricultural products,67169.20655745,87140.19033532
AUS,ZAF,Fertilizers,906.3613188,468.8887059
AUS,ZAF,Forestry products,654.768056,640.2235189
AUS,ZAF,Fossil fuels,204605.45836829,1733890.02237666
AUS,ZAF,Metals and minerals,58200.61650427,19762.60131858
AUS,ZAF,Pearls and gemstones,12.911,18.452
AUS,ZWE,Agricultural products,7994.172744,19541.47089398
AUS,ZWE,Fertilizers,241.736,171.56
AUS,ZWE,Metals and minerals,2.508,1.276
AUS,ESP,Agricultural products,75184.79055787,16295.86582919
AUS,ESP,Fertilizers,278.7597802,76.1630641
AUS,ESP,Forestry products,10.702,0.629
AUS,ESP,Fossil fuels,137276.63,1270469.836
AUS,ESP,Metals and minerals,192140.70323313,193214.57389172
AUS,ESP,Pearls and gemstones,265.574391,0.03269412
AUS,SDN,Agricultural products,3717.118,570.6
AUS,SDN,Fertilizers,NA,NA
AUS,SUR,Forestry products,50.05,70.222
AUS,SUR,Metals and minerals,1235.58431879,1222.07597908
AUS,SWZ,Metals and minerals,1.291,0.66
AUS,SWE,Agricultural products,2867.98502425,709.11374064
AUS,SWE,Fertilizers,0.351,0.578
AUS,SWE,Forestry products,78.5445895,38.8364005
AUS,SWE,Fossil fuels,163545.163,1481328.792
AUS,SWE,Metals and minerals,3307.57141515,1015.22721731
AUS,SWE,Pearls and gemstones,17.764,0.009
AUS,CHE,Agricultural products,73776.13863549,5730.9377871
AUS,CHE,Forestry products,2.408,0.67
AUS,CHE,Fossil fuels,1.174,0.026
AUS,CHE,Metals and minerals,754747.884386,1324.06139628
AUS,CHE,Pearls and gemstones,9634.0417294,1.19187816
AUS,SYR,Agricultural products,322.414,112.538
AUS,TJK,Agricultural products,4.875,0.338
AUS,THA,Agricultural products,471104.81214382,734927.92081888
AUS,THA,Fertilizers,67715.607884,181348.89833
AUS,THA,Forestry products,27993.6324444,136179.0828068
AUS,THA,Fossil fuels,889625.6523466,5508297.1728813
AUS,THA,Metals and minerals,1128769.7837344,581517.47606117
AUS,THA,Pearls and gemstones,19646.632298,3.70536445
AUS,TGO,Agricultural products,298.46813684,234.399928
AUS,TGO,Metals and minerals,NA,NA
AUS,TON,Agricultural products,4733.892,1938.911
AUS,TON,Fossil fuels,8.892,10.46
AUS,TTO,Agricultural products,11452.712,2313.259
AUS,TTO,Metals and minerals,147.986,180.878
AUS,ARE,Agricultural products,611069.38561788,908145.72906502
AUS,ARE,Fertilizers,45.11969892,31.68575985
AUS,ARE,Forestry products,1842.7188246,1463.5235652
AUS,ARE,Fossil fuels,4493.19135,54426.84234
AUS,ARE,Metals and minerals,122141.10500279,136306.79605107
AUS,ARE,Pearls and gemstones,44883.32515029,0.4780509
AUS,TUN,Agricultural products,5855.866391,1365.8393014
AUS,TUN,Fertilizers,59.615,125
AUS,TUN,Fossil fuels,6.94,0.234
AUS,TUN,Metals and minerals,237.226,76.245
AUS,TUN,Pearls and gemstones,8.458,0.002
AUS,TUR,Agricultural products,88605.76276116,40887.24187367
AUS,TUR,Fertilizers,155.59834199,83.1457509
AUS,TUR,Forestry products,44.099,49.71
AUS,TUR,Fossil fuels,188681.468,1956290.836
AUS,TUR,Metals and minerals,252548.11931547,6425.7453204
AUS,TUR,Pearls and gemstones,19.901,0.071
AUS,TUV,Agricultural products,245.452,254.513
AUS,TUV,Forestry products,51.499,35.36
AUS,UGA,Agricultural products,100.6522529,3.315
AUS,UGA,Fertilizers,14.5,0.5
AUS,UGA,Metals and minerals,983.699,505.052
