src,dst,resource,value,weight
AFG,MNG,Agricultural products,1.876,0.87
AFG,NLD,Agricultural products,85.3767197,48.15600978
AFG,NZL,Agricultural products,6.856,0.71
AFG,NZL,Pearls and gemstones,0.698,0.002
AFG,NER,Agricultural products,0.36,0.151
AFG,NOR,Agricultural products,5.143,1.234
AFG,NOR,Pearls and gemstones,0.14,0.001
AFG,PAK,Agricultural products,316605.49047007,429389.79765107
AFG,PAK,Forestry products,1548.948,4635.032
AFG,PAK,Fossil fuels,57254.283,710131.939
AFG,PAK,Metals and minerals,57858.661,779482.327
AFG,PAK,Pearls and gemstones,63.722,0.12
AFG,POL,Agricultural products,16.038,10.339
AFG,PRT,Agricultural products,13.41,3.46
AFG,ROU,Agricultural products,117.712978,34.3150354
AFG,RUS,Agricultural products,4355.9855,2361.13364
AFG,RUS,Pearls and gemstones,1.075,0.051
AFG,RWA,Agricultural products,0.294,0.306
AFG,SAU,Agricultural products,1134.348,105.538
AFG,SAU,Metals and minerals,3.654,7.308
AFG,SEN,Agricultural products,355.151,1287.167
AFG,SEN,Fossil fuels,37.441,17.94
AFG,SYC,Forestry products,NA,NA
AFG,SYC,Fossil fuels,NA,NA
AFG,IND,Agricultural products,348729.142627,240941.26315952
AFG,IND,Metals and minerals,98.4961523,2071.0794205
AFG,IND,Pearls and gemstones,44.103,0.036
AFG,SGP,Pearls and gemstones,NA,NA
AFG,SVK,Agricultural products,43.068,13.038
AFG,SVK,Pearls and gemstones,NA,NA
AFG,VNM,Agricultural products,542.473,49.316
AFG,ZAF,Fossil fuels,13.533,9.551
AFG,ZAF,Pearls and gemstones,NA,NA
AFG,ESP,Metals and minerals,75.467,100.003
AFG,SWE,Agricultural products,45.421803,15.10439678
AFG,CHE,Agricultural products,48.82525953,13.31016605
AFG,CHE,Metals and minerals,15165.576,0.372
AFG,CHE,Pearls and gemstones,48.364,0.009
AFG,TJK,Agricultural products,283.456,799.605
AFG,TJK,Metals and minerals,33.03,66.06
AFG,THA,Agricultural products,14.9071125,8.29282814
AFG,THA,Pearls and gemstones,NA,NA
AFG,TGO,Metals and minerals,7.687,16.707
AFG,ARE,Agricultural products,9419.21871665,5851.05288429
AFG,ARE,Fossil fuels,0.302,0.13
AFG,ARE,Metals and minerals,228890.514151,888.556294
AFG,ARE,Pearls and gemstones,683.475,0.035
AFG,TUN,Agricultural products,91.235,23.3
AFG,TUR,Agricultural products,12909.395012,12100.099054
AFG,TUR,Metals and minerals,141.2925987,519.101262
AFG,TKM,Agricultural products,158.614,103.317
AFG,TKM,Metals and minerals,1.645,3.29
AFG,EGY,Agricultural products,139.557,29.313
AFG,GBR,Agricultural products,1794.5042024,130.15512232
